CODE_ARTICE;LIBELLE;id_fta;date_derniere_maj_fta
35108;"RISOTTO ECREVISSE/ASP MDCAR";915;"2006-06-09"
35142;"SEICHE TOMATE HOUMOS MDCAR";917;"2006-06-09"
35704;"FRICASSEE VOLAILLE MATCH";41;"2004-08-11"
35815;"HACHIS PARMENTIER 800G MDCORA";977;"2006-06-09"
35853;"PAELLA";982;"2006-06-09"
45304;"LANGUE SCE PIQUANTE";68;"0000-00-00"
45314;"CALAMARS AMERICAINE";69;"0000-00-00"
45315;"PAUPIETTE VEAU";55;"0000-00-00"
45316;"JARRET AGNEAU AUX HERBES";43;"2004-08-11"
45317;"LAPIN A LA CAPONATA";75;"2004-08-04"
45320;"ASPIC DE JAMBONNEAU PERSILLE ACCOR";47;"2004-08-04"
45321;"LEGUMES COMPOTES";48;"2004-08-04"
45322;"EMIETTE THON CAPRES CORNICHONS ACCOR";50;"2004-08-04"
45802;"BLANQUETTE VEAU SURGELE SOCOPA";990;"2006-06-09"
46030;"ASS ASIATIQUE THIRIET";1001;"2006-06-09"
89001;"ARTICLE DE DEPANNAGE";1005;"2006-06-09"
89009;"FRAIS DE TRANSPORT";1006;"2006-06-09"
89010;"PENALITES NET DE TAXE";1007;"2006-06-09"
89013;"ARTICLES DE DÉSTOCKAGE";1008;"2006-06-09"
90013;"KIT DECORATION MAROC";1009;"2006-06-09"
90015;"KIT PLV CHASSE AUCHAN";1010;"2006-06-09"
90017;"KIT PLV FESTIF AUC PETIT F";1011;"2006-06-09"
90018;"KIT PLV FESTIF AUC GRAND F";1012;"2006-06-09"
90019;"KIT PLV TEX MEX AUCHAN";1013;"2006-06-09"
